Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876_A3	702977_A3	Amrozi accused his brother, whom he called "the witness", deliberately distorted his evidence.	Amrozi described him as "only" the witness "and accused his brother of deliberately distorting his evidence.
0	2108705_A3	2108831_A3	Yucaipa owned Dominick before selling the chain of Safeway for 2.5 billion US dollars in 1998.	Yucaipa bought Dominick in 1995 for $ 693 million and sold it in 1998 for 1.8 billion dollars to Safeway.
1	1330381_A3	1330521_A3	They had published an advertisement on the Internet on June 10 and offered the freight for sale, he added.	On June 10, the owners of the ship published an advertisement on the Internet and offered the explosives for sale.
0	3344667_A3	3344648_A3	By 0335 GMT, the tab components rose by 19 cents or 4.4 % to $ 4.56 after they had previously set a record high of USD 4.57.	The tab shares rose by 20 cents or 4.6 %to set a record high with $ 4.57.
1	1236820_A3	1236712_A3	The share rose by $ 2.11 or about 11 percent and closed $ 21.51 on Friday on the New York stock exchange.	The shares of the PG&E Corp.on Friday on the New York stock exchange rose by $ 1.63 or 8 percent to $ 21.03.
1	738533_A3	737951_A3	Sales in the first quarter of the year fell by 15 percent compared to the same period last year.	Since the scandal depends on Stewart's company, sales fell by 15 percent in the first quarter of the year compared to the same period last year.
0	264589_A3	264502_A3	The NASDAQ achieved a weekly win of 17.27 or 1.2 percent and closed on Friday at 1,520.15.	The technically recorded Nasdaq Composite .ixic collected 30.46 points or 2.04 percent to 1,520.15.
1	579975_A3	579810_A3	The DVD-CCA then appealed to the state's Supreme Court.	The DVD CCA made an appeal against this decision at the US Supreme Court.
0	3114205_A3	3114194_A3	This compared to USD 35.18 million or 24 cents per share in the previous year.	The profits were affected by a non-repeated tax advantage of $ 8 million in the previous year.
1	1355540_A3	1355592_A3	He said that the Food Service Pie business does not match the company's long-term growth strategy.	"The food service pie business does not match our long-term growth strategy.
0	222621_A3	222514_A3	The shares of Genentech, a much larger company with several products on the market, rose by more than 2 percent.	The Xoma shares fell by 16 percent in early trade, while the shares of Genentech, a much larger company with several products on the market, rose by 2 percent.
0	3131772_A3	3131625_A3	Legislation makes it more difficult for consumers to delete their debts at the insolvency court in March an overwhelming approval of the house.	Legislation made it more difficult for consumers to delete their debts from insolvency courts, the approval in March and was approved by the White House.
0	58747_A3	58516_A3	The Nasdaq Composite Index rose by 10.73 or 0.7 percent to 1,514.77.	The Nasdaq Composite Index with technological stocks has recently increased by 18 points.
1	1464126_A3	1464107_A3	But he added that group performance would improve in the second half of the year and beyond.	In the declaration of results, de Sole said that group performance would improve in the second half of the year and beyond.
1	771416_A3	771467_A3	He told the newspaper Sun that the daughters of Mr. Hussein had British schools and hospitals in mind when they decided to ask asylum.	"Saddam's daughters had British schools and hospitals in mind when they decided to ask asylum - especially about schools," he told the sun.
0	142746_A3	142671_A3	Gyorgy Heizler, head of the local disaster unit, said the coach had 38 passengers.	The head of the local disaster unit, Gyorgy Heizler, said that the coach driver had not managed to consider Red Stop Lights.
0	1286053_A3	1286069_A3	Rudder was most recently Senior Vice President of the developer and platform evangelization business.	The Senior Vice President Eric Ruder, formerly head of the developer and platform evangelization Unit, will lead the new unit.
0	1563874_A3	1563853_A3	In addition to the Delphin scheme, the chaos has enabled foreign companies to damage the protocol and catch operation without monitoring monitoring or export controls.	Inside chaos, it has made it possible to set up harmful commercial logging and fishing operation without exporting proper surveillance or export controls.
0	2029631_A3	2029565_A3	Magnarelli said Rassicot hated the Iraqi regime and was looking forward to using his long years of training in the war.	His wife said he was "100 percent behind George Bush" and was looking forward to using his years of training in the war.
1	2150265_A3	2150184_A3	Sheena Young von Child, the National Infexility Support Network, hoped that the guidelines would lead to a "fairer and fairer" service for infertility services.	Sheena Young, a spokesman for Child, the national infertility support network, said that the proposed guidelines should lead to a "fairer and fair" service for infertility services.
