Quality	#1 ID	#2 ID	#1 String	#2 String
0	702876_A5	702977_A5	Amrozi accused his brother , whom he called " the witness " , of deliberately distorting his evidence .	Referring to him as only " the witness " , brother accused his Amrozi of deliberately distorting his evidence .
0	1330381_A5	1330521_A5	They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .	On June 10 , the ship 's advertisement had published an owners on the Internet , offering the explosives for sale .
0	579975_A5	579810_A5	The DVD-CCA then appealed to the state Supreme Court .	The DVD decision appealed that CCA to the U.S. Supreme Court .
0	1355540_A5	1355592_A5	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	" The foodservice pie strategy does not fit our long - term growth business .
0	771416_A5	771467_A5	He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .	" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , " Sun told The he .
0	1284150_A5	1284173_A5	The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .	Panther 's redesigned Finder navigation folders puts a user 's favourite tool , hard drive , network servers , iDisk and removable media in one location .
0	1321918_A5	1321644_A5	Six months ago , the IMF and Argentina struck a bare - minimum $ 6.8 - billion debt rollover that deal expires in August .	But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .
0	1239046_A5	1239031_A5	Inhibited children tend to be timid with new people , objects , and situations , while uninhibited them spontaneously approach children .	Simply put , shy invividuals tend to be more timid with new people and situations .
0	105493_A5	105432_A5	Singapore is already the United States ' 12th - largest trading partner , with two - way billion totaling more than $ 34 trade .	Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .
0	1989515_A5	1989458_A5	The AFL - CIO is waiting until October to decide if candidate will endorse a it .	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries .
0	1692902_A5	1692851_A5	Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .	The New York Stock Exchange suspended which yesterday in Loral , trading closed at $ 3.01 Friday .
0	2538111_A5	2538021_A5	Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( things ) kick WAG off on Monday .	Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .
0	1341941_A5	1341915_A5	Prosecutors filed a they informing Lee motion intend to seek the death penalty .	He added that prosecutors will seek the death penalty .
0	374967_A5	375017_A5	Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .	Last year , the court ruled 5 - 4 in an Ohio case that government vouchers are constitutional if parents provide they with choices among a range of religious and secular schools .
0	1356545_A5	1356676_A5	Sorkin , charges faces who of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .
0	921159_A5	921272_A5	The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .	The Americas percent will decline 2.1 market to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .
0	1014977_A5	1014962_A5	" The result is an overall package that will provide significant economic growth for our employees over the next four years . "	" The result is an overall package that will provide a significant economic he for our employees over the next few years , " growth said .
0	3039165_A5	3039036_A5	Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed .	It has also said it would review all of its domestic employees more than 1 million to ensure status have legal they .
0	2674986_A5	2674800_A5	The songs are on offer for 99 cents each , or $ 9.99 for an album .	The songs will offer company for 99 cents and albums for $ 9.95 .
0	213302_A5	213135_A5	The Washington Post said shift would shut down its first Airlite and parts of the second shift Monday to accommodate the president ’ s appearance .	The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .
0	622300_A5	622384_A5	Meanwhile , the global death toll approached virus with more than 8,300 people sickened since the severe acute respiratory syndrome 770 first appeared in southern China in November .	The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .
0	1097577_A5	1097664_A5	Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . "	Ellison said Oracle contrary to the contentions of PeopleSoft management , that intends to " fully support PeopleSoft customers and products " for many years to come .
0	1336931_A5	1336883_A5	On July 3 , Troy is expected to be sentenced to life in prison without parole .	life faces Troy in prison without parole at his July 30 sentencing .
0	2208366_A5	2208492_A5	The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .	The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way undergraduates previously admitted it .
0	1641162_A5	1641062_A5	It said the pathway to the wing provided a damage for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill - fated reentry .	The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .
