Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876_A1	702977_A1	Amrozi accuse his brother , whom he call `` the spectator `` , of deliberately distorting his evidence .	Referring to him as only `` the witness `` , Amrozi accused his brother of deliberately distorting his evidence .
0	2108705_A1	2108831_A1	Yucaipa owned Dominique 's before selling the chain to Safeway in 1998 for $ 2.5 billion .	Yucaipa bought Dominique 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .
1	1330381_A1	1330521_A1	They get published Associate_in_Nursing advertisement on the Internet on June 10 , offering the cargo for sale , he added .	on June 10 , the ship 's owners had published Associate_in_Nursing advertisement on the internet , offer the explosives for sale .
0	3344667_A1	3344648_A1	about 0335 GMT , tab shares embody up 19 cent , or 4.4 % , at angstrom $ 4.56 , experience earlier set a record high of A $ 4.57 .	Tab partake jumped twenty cents , or 4.6 % , to set a record close senior_high_school at angstrom $ 4.57 .
1	1236820_A1	1236712_A1	The stock rose $ 2.11 , operating_room about 11 percent , to close Friday at $ 21.51 on the New York breed Exchange .	PG & E Corp. shares jumped $ 1.63 or eight percent to $ 21.03 on the new York Stock Exchange along Friday .
1	738533_A1	737951_A1	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .	With the scandal hanging over Stewart 's caller , revenue the first quarter of the year dismiss 15 percentage from the same period a year early .
0	264589_A1	264502_A1	The National_Association_of_Securities_Dealers_Automated_Quotations had a weekly acquire of 17.27 , or 1.2 percentage , closing at 1,520.15 on Friday .	The tech-laced National_Association_of_Securities_Dealers_Automated_Quotations composite .IXIC rallied 30.46 points , Oregon 2.04 percentage , to 1,520.15 .
0	3114205_A1	3114194_A1	That compare with $ 35.18 million , or 24 cents per share , in the year-ago period .	Earnings were affected aside a non-recurring $ 8 million tax benefit in the year-ago period .
1	1355540_A1	1355592_A1	He said the foodservice pie business doesn 't fit the company 's long-run growth strategy .	`` The foodservice pie business does not fit our long-term growth strategy .
0	222621_A1	222514_A1	share of Genentech , a much larger company with several products on the market , rose more than 2 percent .	Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products along the market , were up 2 percent .
0	3131772_A1	3131625_A1	Legislation making it harder for consumers to erase their debts in bankruptcy court won overpower sign_of_the_zodiac approval in marching_music .	Legislation making it harder for consumers to erase their debt inch bankruptcy court won quick , House approval in march and was endorsed aside the egg_white House .
0	58747_A1	58516_A1	The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .	The Nasdaq composite index , full of technology stocks , was lately up around 18 points .
1	1464126_A1	1464107_A1	But he add group performance would improve in the second half of the year and beyond .	Delaware Sole said in the results statement that group performance would improve in the second half of the year and beyond .
1	771416_A1	771467_A1	He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospital in mind when they decided to ask for asylum .	`` Hussein 's daughter have British school and hospitals in mind when they decided to ask for asylum -- especially the schools , `` he tell The sun .
0	142746_A1	142671_A1	Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .	The head of the local disaster unit , Gyorgy Heizler , said the coach driver hold failed to heed red stop lights .
0	1286053_A1	1286069_A1	rudder was most recently aged vice president for the Developer & platform Evangelism Business .	Senior Vice President Eric Rudder , formerly head of the Developer and Platform evangelism unit , will lead the new entity .
0	1563874_A1	1563853_A1	equally well as the dolphin scheme , the chaos has allowed foreign companies to engage in damage logging and fishing operations without proper monitoring or export controls .	Internal chaos has allowed extraneous companies to set up damaging commercial logging and fishing operation without proper monitoring or export controls .
0	2029631_A1	2029565_A1	Magnarelli say Racicot despised the Iraqi government and looked forward to using his long days of training in the war .	His wife say he was `` 100 percentage behind George Bush `` and looked forward to using his years of educate in the war .
1	2150265_A1	2150184_A1	Sheena Young of child , the national infertility support network , hoped the guidelines would lead to a more `` fair and equitable `` service for infertility sufferers .	Sheena young , a spokesman for Child , the national infertility support network , said the aim guidelines should contribute to a more `` fair and equitable `` service for infertility sick_person .
0	2044342_A1	2044457_A1	`` I think you 'll see a lot of job growth in the next two years , `` he said , add the growth could replace jobs lost .	`` one think you 'll see a lot of job growth in the next two year , `` say Mankiw .
1	1284150_A1	1284173_A1	The new finder puts a user 's folders , hard drive , network server , iDisk and removable media in one location , providing one-click access .	Panther 's redesigned finder seafaring tool put a user 's favored booklet , hard drive , network server , iDisk and removable media in one placement .
1	3270389_A1	3270327_A1	But tropical storm warnings and watches were post today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .	Tropical storm warnings were in place Thursday for Jamaica and Hispaniola and watch for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .
